,Name,Primary Source,Description,External Links / Additional Notes
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Ordon Village,,,
,Vine Man Skip and Softlock,https://youtu.be/nXyZl-FOiM8,Skip the vine guy by using a chicken and precise movement to clip onto a roof early. Softlock by approaching him from behind.,Easier setup: https://youtu.be/2-5n3EGBTgU
,Missing Cat Softlock,https://www.youtube.com/watch?v=-G_HY8PGrWI,Softlock from talking to the vine man after skipping him and feeding the cat.,
,Rooftop Cat Softlock,https://www.youtube.com/watch?v=UZ-nn_-W_gU,Softlock from talking to the vine man after obtaining the bottle of milk.,
,[Theoretical] Hawk Skip,https://www.youtube.com/watch?v=R2pF-B8BXhs,Theoretical skip to avoid needing the hawk by picking up the cradle directly from the monkey's hands.,https://youtu.be/V_fcQwIg5PE
,Cat Warp,https://www.youtube.com/watch?v=azMc8FME1OU,Get the cats attention for the fish event from the wrong location.,
,Flying Pumpkin Glitch,https://www.youtube.com/watch?v=_f-_gceKm24,Manipulate the pumpkin sprouts with boomerang.,
,Smashing Pumpkins Temp Flag Storage,https://youtu.be/S_nob2Pq454,"Store the temp flag for the vine man yelling at Link. This flag does not appear to be shared, so this has no known use.",
,Uli Cradle Turn-In Interrupt,<Need video>,"Throw the cradle while entering the frist turn-in trigger, which causes the cutscene to improperly play, and Uli to give her default dialog instead. No apparent use.",
,Fishing Rod Item Obtain Dupe,https://youtu.be/XJLOyIb4LqM,"Obtain the Fishing Rod multiple times by performing a 1 frame jump to save/quit mid dialog. No apparent usage, as only one appears in inventory.",
,Slingshot Recoil Glitch,https://www.youtube.com/watch?v=GypiTA8Mb8k,"Warp to Ordon after doing Master Sword Early, and shoot Uli's husband with a slingshot. He will retaliate and knock you back no matter how far you are.",
,Approach Uli as Wolf Link,https://youtube.com/shorts/x-TXZcmiCrs,Precise jumps to get near Uli as Wolf Link without her freaking out. [HD only?],
,Midna First Jump Skip,https://www.youtube.com/watch?v=-OXkHt-3q2k,Perform a normal jump as Wolf Link instead of a Midna Jump. Technically not a glitch.,
,Fish for Cat Softlock,https://www.youtube.com/watch?v=vzLnKLLrE9U,Use rod duping to catch the fish for the cat anywhere on the map. Doing this while interacting with various NPCs can result in softlocks.,
,Cat Warp / Invisible Fish for Cat,https://youtu.be/7Mg3JXz-44U,"Catch a fish for the cat in the wrong area. Speeds up the cutscene. Can be used to save time, but RNG dependent.",
,Infinite Death Softlock,https://www.youtube.com/watch?v=yretbuVWHsQ,"Attempt to enter the roof loading zone as Link via a well positioned transform, resulting in an infinite void out loop.",
,Ordon Night Npc Respawn,https://www.youtube.com/watch?v=2R9_ytIfuQc,"Look away while out of range, and the NPCs will instantly respawn",
,Shield Obtained Dialogue Skip/Softlock,<Need video>,"After picking up the shield, do a frame perfect jump attack to escape the trigger that causes Midna's dialog to appear. However, this causes the Sword not to spawn, so this is not actually skippable.",
,Vine Clip,<Need video>,Perform vine clipping to get out of bounds and swim underneath the map.,
,,,,
,,,,
,Link's House Area,,,
