,Name,Primary Source,Description,External Links / Additional Notes
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Kakariko Village,,,
,Bomb House Ooccoo Softlock,https://www.youtube.com/watch?v=TCPP0Q-j8Fo,"Map glitch + bombhouse + ooccoo = softlock, somehow",
,Bomb House Skip,https://www.youtube.com/watch?v=z3ejccJjo48,"Delay hitting the cutscene trigger, allowing Link to kill a bug early, which despawns the Bomb house",More strats here https://www.zeldaspeedruns.com/tp/twilight/eldin-twilight
,Rutella Warp,,Walk away from Rutella while she is guiding Link to warp to her. This is technically not a glitch.,
,Basement Bug Manip,https://www.youtube.com/watch?v=w6YtSCT6Qxk,Perform a series of actions to quickly grab the bugs,
,Malo Mart Bug Manip,https://www.youtube.com/watch?v=upKD_ou4DWE,Perform a bonk to manipulate the bug into coming to Link,
,NaN Coords,https://youtu.be/uBSwfNTv74k,"Leave Malo Mart as Wolf Link, causing Link's coordinates to glitch out. The game is expecting human Link to do a door open animation, which Wolf Link cannot do. Sometimes Link voids, sometimes he does not.",
,Kak Twilight Gate Escape (Superjump),https://youtu.be/5U8AYw-25yE,Bypass the Kakariko Village gate in Twilight with a super jump to escape early. No known uses.,
,Twilight Fence Escape (Transform Clip),https://www.youtube.com/watch?v=xcwf5ybc8aI,Transform clip passed the Twilight fence enclosure,
,Barns OOB,https://www.youtube.com/watch?v=fVAsS9mmRdw ,"Glitch out Barne's ""switch booth"" event by transforming from Wolf Link into Human link, causing Barnes to keep sidestepping until he goes out of bounds.",
,Glitchy Epona Taming as Wolf Link,https://youtu.be/r0QazodxTAc,Start the Epona Taming cutscene as Wolf Link (requires having done Early Master Sword),
,Early City in the Sky (Transform),https://www.zeldaspeedruns.com/tp/msb/early-city-in-the-sky,"Clip behind a statue, gaining access to the broken cannon early. Skips Temple of Time and most of Snowpeak. Note: Requires use of ""Map Warp Restriction Cancelling"" to warp the gannon.",
,Early City in the Sky (LJA),https://youtu.be/dLiuqBJma3k,Long jump attack through the statue to unlock city in the sky early.,
,Early City in the Sky (No Map Warping),https://www.youtube.com/watch?v=T1IzQMWlRk8,"NOTE: This can only be done after completing Temple of Time, as otherwise Shad does not appear in the basement. Savewarp / deathwarp out of the cannon room after talking to Midna about the cannon, you can talk to Shad to warp back into the room while also disabling the trigger that stops you from warping the cannon.",
,Wooden Statue Without Zora Armor Crash,<Need video>,"Turning in the wood statue without Zora armor causes a game flags situation where there would be two Renados, causing the game to crash",
,Rupee Bed Clip,https://clips.twitch.tv/ComfortableInterestingMooseResidentSleeper-KIjwII_P06UqQjSo,Somehow clipped into the bed after getting yellow rupee,
,[Wii 1.0] Cannon Room Save Glitch,<Need video>,"If you save in the room under Kakariko Sanctuary before warping out the Sky Cannon, you’ll be stuck on reload. Midna refuses to warp it since the NPC (Shad) hasn’t left, and there’s no way out – an irreparable bug on original Wii releases​",
,,,,
,Upper Eldin Field (Hyrule Bridge),,,
